Date,Timestamp,Open,High,Low,Close,Volume
20040322,4:00:00,7.465,7.602,7.343,7.569,29.80000044
20040322,8:00:00,7.473,7.745,7.441,7.611,30.25000045
20040322,12:00:00,7.595,7.687,7.399,7.562,60.3000009
20040322,16:00:00,7.445,7.667,7.414,7.489,37.65000056
20040322,20:00:00,7.545,7.545,7.453,7.489,0.400000006
20040323,0:00:00,7.554,7.618,7.447,7.509,12.25000018
20040323,4:00:00,7.568,7.657,7.441,7.524,26.10000039
20040323,8:00:00,7.55,7.608,7.352,7.429,20.2500003
20040323,12:00:00,7.489,7.641,7.354,7.475,53.10000079
20040323,16:00:00,7.431,7.753,7.389,7.559,34.05000051
20040323,20:00:00,7.615,7.676,7.523,7.609,1.850000028
20040324,0:00:00,7.665,7.738,7.52,7.594,34.40000051
20040324,4:00:00,7.649,7.76,7.506,7.693,71.00000106
20040324,8:00:00,7.626,7.759,7.501,7.662,21.90000033
20040324,12:00:00,7.611,7.704,7.345,7.582,79.50000118
20040324,16:00:00,7.478,7.72,7.385,7.515,50.55000075
20040324,20:00:00,7.559,7.561,7.449,7.499,0.800000012
20040325,0:00:00,7.555,7.582,7.408,7.459,24.15000036
20040325,4:00:00,7.501,7.576,7.363,7.541,41.10000061
20040325,8:00:00,7.529,7.608,7.377,7.445,26.15000039
20040325,12:00:00,7.529,7.63,7.293,7.57,72.15000108
20040325,16:00:00,7.476,7.618,7.35,7.463,62.95000094
20040325,20:00:00,7.525,7.562,7.428,7.469,1.200000018
20040326,0:00:00,7.525,7.587,7.378,7.474,38.40000057
20040326,4:00:00,7.531,7.584,7.368,7.434,62.10000093
20040326,8:00:00,7.484,7.562,7.352,7.505,41.90000062
20040326,12:00:00,7.437,7.754,7.332,7.622,76.20000114
20040326,16:00:00,7.526,7.724,7.462,7.589,56.50000084
20040328,20:00:00,7.635,7.635,7.535,7.574,0.200000003
20040329,0:00:00,7.637,7.734,7.486,7.568,19.45000029
20040329,4:00:00,7.655,7.712,7.491,7.538,41.45000062
20040329,8:00:00,7.604,7.682,7.417,7.507,25.65000038
20040329,12:00:00,7.505,7.707,7.423,7.584,62.45000093
20040329,16:00:00,7.487,7.674,7.414,7.563,45.45000068
20040329,20:00:00,7.545,7.584,7.453,7.519,1.450000022
20040330,0:00:00,7.46,7.615,7.396,7.475,19.40000029
20040330,4:00:00,7.525,7.64,7.417,7.546,15.40000023
20040330,8:00:00,7.424,7.655,7.412,7.514,34.65000052
20040330,12:00:00,7.595,7.77,7.419,7.733,74.60000111
20040330,16:00:00,7.598,7.798,7.536,7.624,53.00000079
20040330,20:00:00,7.695,7.727,7.603,7.639,1.500000022
20040331,0:00:00,7.695,7.811,7.591,7.728,25.00000037
20040331,4:00:00,7.64,7.845,7.602,7.695,31.05000046
20040331,8:00:00,7.714,7.872,7.601,7.74,31.35000047
20040331,12:00:00,7.81,7.874,7.618,7.82,69.45000103
20040331,16:00:00,7.728,7.948,7.69,7.864,58.95000088
20040331,20:00:00,7.773,7.934,7.756,7.876,2.150000032
20040401,0:00:00,7.845,7.896,7.676,7.828,41.40000062
20040401,4:00:00,7.807,7.948,7.709,7.898,54.80000082
20040401,8:00:00,7.874,8.019,7.708,7.858,46.8500007
20040401,12:00:00,7.897,8.179,7.822,7.955,78.45000117
20040401,16:00:00,7.893,8.155,7.879,7.993,49.50000074
20040401,20:00:00,7.998,8.065,7.933,7.969,1.300000019
20040402,0:00:00,7.944,8.116,7.926,8,16.80000025
20040402,4:00:00,8.035,8.164,7.936,8.008,30.40000045
20040402,8:00:00,8.045,8.458,7.971,8.165,39.60000059
20040402,12:00:00,8.259,8.324,7.804,8.052,78.65000117
20040402,16:00:00,7.972,8.125,7.872,8.014,51.60000077
20040402,20:00:00,8.057,8.066,7.957,8.014,0.400000006
20040404,20:00:00,8.073,8.073,7.99,8.023,0.200000003
20040405,0:00:00,8.075,8.243,7.983,8.169,12.85000019
20040405,4:00:00,8.245,8.305,8.078,8.196,18.50000028
20040405,8:00:00,8.244,8.321,8.014,8.141,22.60000034
20040405,12:00:00,8.106,8.178,7.838,8.051,91.95000137
20040405,16:00:00,7.962,8.129,7.843,8.08,30.30000045
20040405,20:00:00,8.055,8.055,7.954,8.031,0.500000007
20040406,0:00:00,8.059,8.123,7.946,8.039,15.05000022
20040406,4:00:00,8.085,8.109,7.934,8.024,30.40000045
20040406,8:00:00,8.074,8.213,7.922,8.097,30.75000046
20040406,12:00:00,8.084,8.233,7.887,8.11,82.90000124
20040406,16:00:00,8.024,8.218,7.95,8.107,36.95000055
20040406,20:00:00,8.167,8.227,8.046,8.129,6.900000103
20040407,0:00:00,8.121,8.261,8.065,8.197,25.10000037
20040407,4:00:00,8.205,8.248,8.048,8.187,32.30000048
20040407,8:00:00,8.151,8.251,7.973,8.051,23.80000035
20040407,12:00:00,8.045,8.263,7.87,8.135,85.95000128
20040407,16:00:00,8.131,8.266,7.983,8.141,36.50000054
20040407,20:00:00,8.146,8.187,8.04,8.085,1.550000023
20040408,0:00:00,8.061,8.232,8.026,8.165,22.05000033
20040408,4:00:00,8.175,8.252,8.015,8.126,23.75000035
20040408,8:00:00,8.139,8.232,7.903,8.05,30.80000046
20040408,12:00:00,8.059,8.194,7.888,8.059,88.40000132
20040408,16:00:00,7.941,8.086,7.86,7.959,34.00000051
20040408,20:00:00,7.924,8.008,7.924,8.008,0.150000002
20040409,0:00:00,8.023,8.142,7.959,8.029,3.200000048
20040409,4:00:00,8.07,8.119,7.934,8.119,1.150000017
20040409,12:00:00,8.089,8.119,7.987,8.118,0.450000007
20040409,16:00:00,8.04,8.115,7.981,7.981,0.350000005
20040411,20:00:00,8.067,8.124,7.993,8.029,1.200000018
20040412,0:00:00,8.068,8.138,7.944,8.06,4.750000071
20040412,4:00:00,8.096,8.194,7.97,8.145,7.700000115
20040412,8:00:00,8.077,8.134,7.937,8.051,3.800000057
20040412,12:00:00,7.964,8.142,7.666,7.933,93.20000139
20040412,16:00:00,7.804,8.008,7.729,7.889,41.50000062
20040412,20:00:00,7.933,7.945,7.833,7.889,0.800000012
20040413,0:00:00,7.954,8.022,7.817,7.877,32.90000049
20040413,4:00:00,7.925,7.974,7.699,7.808,49.20000073
20040413,8:00:00,7.837,7.907,7.647,7.727,30.05000045
20040413,12:00:00,7.763,7.763,7.173,7.409,77.60000116
20040413,16:00:00,7.286,7.483,7.239,7.356,40.0000006
20040413,20:00:00,7.365,7.401,7.253,7.271,0.900000013
20040414,0:00:00,7.363,7.426,7.034,7.163,34.30000051
20040414,4:00:00,7.137,7.269,7.002,7.233,44.40000066
20040414,8:00:00,7.108,7.303,6.924,7.114,47.3000007
